Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
tapa-de-valvulas-adap-corsa-99-fun-mer-cor-ii-8v;Tapa De Valvulas Adap. Corsa 99/fun/mer/cor Ii 8v;;;;;;;;48396.55;;0.00;0.00;0.00;0.00;1;C1036491-A;;SI;NO;;;;;Auto;SI;;;;
tubo-rigido-0021-mlh-gol-1-6-1-8-efi;Tubo Rigido (0021)-mlh- Gol 1.6/1.8 Efi;;;;;;;;16492.93;;0.00;0.00;0.00;0.00;1;377121065J-M;;SI;NO;;;;;Auto;SI;;;;
pasarrueda-plast-delatero-izquierda-onix-prisma-14;Pasarrueda Plast. Delatero Izquierda Onix/prisma 14/;;;;;;;;28365.07;;0.00;0.00;0.00;0.00;1;C8099619-I;;SI;NO;;;;;Auto;SI;;;;
sensor-velocimetro-electronico-vdo-corsa;Sensor Velocimetro ( Electronico ) Vdo- Corsa**;;;;;;;;42799.33;;0.00;0.00;0.00;0.00;1;C9578272-V;;SI;NO;;;;;Auto;SI;;;;
moldura-guard-trasero-derecho-adaptable-classic;Moldura Guard Trasero Derecho Adaptable Classic;;;;;;;;17971.03;;0.00;0.00;0.00;0.00;1;C8079668-A;;SI;NO;;;;;Auto;SI;;;;
kit-distribucion-ina530014710-astra-1-8-8v;Kit Distribucion -ina530014710-astra 1.8 8v;;;;;;;;99075.64;;0.00;0.00;0.00;0.00;1;C1091007-K;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-dist-s-10-2-8-12-180hp;Tensor Correa Dist S/10 2.8 12/ 180hp;;;;;;;;50203.44;;0.00;0.00;0.00;0.00;1;12625560;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-s-10-12;Filtro Aceite S/10 12/;;;;;;;;20660.98;;0.00;0.00;0.00;0.00;1;12636838;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-alternador-trailblazer-s10-12-gener;Tensor Correa Alternador Trailblazer/s10 12/ Gener;;;;;;;;86311.68;;0.00;0.00;0.00;0.00;1;24588988;;SI;NO;;;;;Auto;SI;;;;
cjto-peug-206-1-4-8v-citr-c3;Cjto.peug.206 1.4-8v Citr.c3;;;;;;;;174076.59;;0.00;0.00;0.00;0.00;1;KM K44060;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-alternador-astra-vectra-zafira-fun-c;Tensor Correa Alternador Astra/vectra/zafira/fun/c;;;;;;;;80001.47;;0.00;0.00;0.00;0.00;1;24412292;;SI;NO;;;;;Auto;SI;;;;
polea-fija-de-re-envio-t-originalfox-suran-trend-voy;Polea Fija De Re-envio (t/original)fox/suran/trend/voy;;;;;;;;25731.3;;0.00;0.00;0.00;0.00;1;032145276X--;;SI;NO;;;;;Auto;SI;;;;
pastillas-freno-delantero-onix-1-0-1-2-20-acdelco;Pastillas Freno Delantero Onix 1.0/1.2 20/ Acdelco;;;;;;;;39785.32;;0.00;0.00;0.00;0.00;1;19283184;;SI;NO;;;;;Auto;SI;;;;
manguera-superior-radiador-classic-11;Manguera Superior Radiador Classic 11/;;;;;;;;25952.14;;0.00;0.00;0.00;0.00;1;94722529;;SI;NO;;;;;Auto;SI;;;;
palanca-cambios-sola-adaptable-agile;Palanca Cambios Sola Adaptable Agile;;;;;;;;34067.29;;0.00;0.00;0.00;0.00;1;C7111179-A;;SI;NO;;;;;Auto;SI;;;;
deflector-agua-pasarrueda-derecho-onix-prisma-general;Deflector Agua Pasarrueda Derecho Onix/prisma General;;;;;;;;56234.57;;0.00;0.00;0.00;0.00;1;52038200;;SI;NO;;;;;Auto;SI;;;;
cano-de-tubo-rig-bomba-enfreno-4327-polo-dsl;Caño De Tubo Rig/bomba/enfreno (4327) Polo Dsl;;;;;;;;30440.43;;0.00;0.00;0.00;0.00;1;037122058--C;;SI;NO;;;;;Auto;SI;;;;
filtro-gas-oil-s-10-12-kit-x2-unidades;Filtro Gas Oil S/10 12/ (kit X2 Unidades);;;;;;;;82737.51;;0.00;0.00;0.00;0.00;1;52100212;;SI;NO;;;;;Auto;SI;;;;
flexible-freno-delantero-meriva-astra-vec;Flexible Freno Delantero Meriva Astra Vec;;;;;;;;16612.57;;0.00;0.00;0.00;0.00;1;C61170123-;;SI;NO;;;;;Auto;SI;;;;
correa-poly-v-acc-bomba-d-h-cruze-sonic-1-6-16v-tr;Correa Poly V Acc Bomba D/h Cruze/sonic 1.6 16v/tr;;;;;;;;21929.43;;0.00;0.00;0.00;0.00;1;25195582;;SI;NO;;;;;Auto;SI;;;;
