Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
kit-de-distribucion-ina-amarok-ina-530055010-volks;Kit De Distribucion Ina Amarok Ina 530055010 Volks;;;;;;;;0.00;;0.00;0.00;0.00;0.00;;;;SI;NO;;;;;Auto;SI;;;;
escobilla-l-luneta-original-trend-fox-suran-10;Escobilla L/luneta (original) Trend/fox/suran 10/**;;;;;;;;74,815.90;;0.00;0.00;0.00;0.00;1;5U6955425---;;SI;NO;;;;;Auto;SI;;;;
aceite-1-lt-total-transmision-bv-75w80-botella;Aceite 1 Lt. Total Transmision Bv 75w80 Botella**;;;;;;;;58,998.20;;0.00;0.00;0.00;0.00;1;TOT-1080;;SI;NO;;;;;Auto;SI;;;;
filtro-gas-oil-t-original-amarok;Filtro Gas Oil (t/original) Amarok;;;;;;;;59,184.36;;0.00;0.00;0.00;0.00;1;2H0127401AX-;;SI;NO;;;;;Auto;SI;;;;
conector-agua-trasero-importado-amarok-2-0-bitdi;Conector Agua Trasero Importado Amarok 2.0 Bitdi;;;;;;;;152,541.70;;0.00;0.00;0.00;0.00;1;03L121131MAI;;SI;NO;;;;;Auto;SI;;;;
kit-de-led-c6-mini-sin-cooler-h7-6-gen-20000lm-chi;Kit De Led C6 Mini Sin Cooler H7 6 Gen 20000lm Chi;;;;;;;;51,651.47;;0.00;0.00;0.00;0.00;1;C6MINI-H7;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-dist-s-10-2-8-12-200hp;Tensor Correa Dist S/10 2.8 12/ 200hp;;;;;;;;142,795.67;;0.00;0.00;0.00;0.00;1;12644510;;SI;NO;;;;;Auto;SI;;;;
cano-inferior-radiador-4707-astra-99-8v;Caño Inferior Radiador -4707- Astra 99/ 8v;;;;;;;;48,690.85;;0.00;0.00;0.00;0.00;1;C12105130C;;SI;NO;;;;;Auto;SI;;;;
filtro-aire-chevr-cruze-1-4t;Filtro Aire Chevr.cruze 1.4t;;;;;;;;56,236.66;;0.00;0.00;0.00;0.00;1;MF LX301514;;SI;NO;;;;;Auto;SI;;;;
cable-comando-cambios-marcha-4368-cobalt-onix-pri;Cable Comando Cambios Marcha 4368 Cobalt/onix/pri;;;;;;;;398,101.47;;0.00;0.00;0.00;0.00;1;C71126514F;;SI;NO;;;;;Auto;SI;;;;
cilindro-puerta-delantera-trailblazer-s10-12-vir;Cilindro Puerta Delantera Trailblazer/s10 12/ (vir;;;;;;;;283,307.79;;0.00;0.00;0.00;0.00;1;13580508;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-derecho-fitam-corsa-99-4-p;Faro Trasero Derecho -fitam- Corsa 99/ 4 P;;;;;;;;68,296.43;;0.00;0.00;0.00;0.00;1;C9450966-F;;SI;NO;;;;;Auto;SI;;;;
tapa-superior-flotante-chevrolet-todos-07-2009;Tapa Superior Flotante Chevrolet Todos 07-2009/;;;;;;;;90,777.94;;0.00;0.00;0.00;0.00;1;19015F;;SI;NO;;;;;Auto;SI;;;;
sensor-velocimetro-7801-quantum-gol-ab9;Sensor Velocimetro (7801) Quantum-gol Ab9;;;;;;;;58,157.89;;0.00;0.00;0.00;0.00;1;3259578271-F;;SI;NO;;;;;Auto;SI;;;;
sapito-limpiaparabrisas-trailblazer-s10-12-genera;Sapito Limpiaparabrisas Trailblazer/s10 12/ Genera;;;;;;;;42,143.19;;0.00;0.00;0.00;0.00;1;20820073;;SI;NO;;;;;Auto;SI;;;;
emblema-bigotera-grilla-astra-03;Emblema (bigotera) Grilla Astra 03/;;;;;;;;188,617.05;;0.00;0.00;0.00;0.00;1;93328725;;SI;NO;;;;;Auto;SI;;;;
kit-palanca-cambios-completo-corsa-05;Kit Palanca Cambios Completo Corsa 05/;;;;;;;;105,088.71;;0.00;0.00;0.00;0.00;1;C7111177-C;;SI;NO;;;;;Auto;SI;;;;
tensor-poly-v-skf-vkm-31008-amarok;Tensor Poly V -skf-vkm 31008) Amarok**;;;;;;;;194,285.89;;0.00;0.00;0.00;0.00;1;03G145276--S;;SI;NO;;;;;Auto;SI;;;;
ruleman-cazoleta-polo-00-fox;Ruleman Cazoleta Polo 00/-fox;;;;;;;;76,892.52;;0.00;0.00;0.00;0.00;1;6N0412249C--;;SI;NO;;;;;Auto;SI;;;;
carcaza-filtro-aire-corsa-nafta-classic;Carcaza Filtro Aire Corsa Nafta / Classic;;;;;;;;274,160.77;;0.00;0.00;0.00;0.00;1;93313695;;SI;NO;;;;;Auto;SI;;;;
juego-past-freno-19pf1013-acdelco-s-10-blaz-95;Juego Past Freno (19pf1013) Acdelco S-10/blaz 95/;;;;;;;;124,012.41;;0.00;0.00;0.00;0.00;1;C69815110O;;SI;NO;;;;;Auto;SI;;;;
cazoleta-amort-delatero-erghom-vectra-astra-corsa;Cazoleta Amort Delatero Erghom Vectra/astra/corsa/;;;;;;;;69,567.46;;0.00;0.00;0.00;0.00;1;C4123313-I;;SI;NO;;;;;Auto;SI;;;;
manguera-ent-rad-onix-prisma;Manguera Ent Rad Onix Prisma;;;;;;;;98,756.49;;0.00;0.00;0.00;0.00;1;52114729;;SI;NO;;;;;Auto;SI;;;;
correa-distrib-z135-hutchinson-vw-trend-voyage;Correa Distrib Z=135 -hutchinson- Vw Trend Voyage;;;;;;;;126,549.90;;0.00;0.00;0.00;0.00;1;030109119--H;;SI;NO;;;;;Auto;SI;;;;
polea-intermedia-correa-alternador-trailblazer-s10;Polea Intermedia Correa Alternador Trailblazer/s10;;;;;;;;59,968.31;;0.00;0.00;0.00;0.00;1;24590404;;SI;NO;;;;;Auto;SI;;;;
rotula-suspension-derecho-skf-vkds4916a-fox-trend-voyage;Rotula Suspension Derecho Skf (vkds4916a) Fox/trend/voyage;;;;;;;;98,649.98;;0.00;0.00;0.00;0.00;1;5U0407366A-S;;SI;NO;;;;;Auto;SI;;;;
correa-alt-s-10-12-6pk2870;Correa Alt S/10 12/ 6pk2870;;;;;;;;146,414.57;;0.00;0.00;0.00;0.00;1;24581174;;SI;NO;;;;;Auto;SI;;;;
polea-fija-de-re-envio-dayco-fox-17-x-76-x-26;Polea Fija De Re-envio (dayco) Fox 17 X 76 X 26;;;;;;;;56,951.32;;0.00;0.00;0.00;0.00;1;032145276--R;;SI;NO;;;;;Auto;SI;;;;
base-filtro-de-aceite-completa-amarok;Base Filtro De Aceite Completa Amarok;;;;;;;;240,356.12;;0.00;0.00;0.00;0.00;1;03L115389H-I;;SI;NO;;;;;Auto;SI;;;;
palanca-cambios-completa-onix-prisma-13-16-general;Palanca Cambios Completa Onix/prisma 13/16 General;;;;;;;;645,265.77;;0.00;0.00;0.00;0.00;1;24582360;;SI;NO;;;;;Auto;SI;;;;
inyector-lubricacion-aceite-piston-sonic;Inyector Lubricacion Aceite Piston Sonic;;;;;;;;133,758.98;;0.00;0.00;0.00;0.00;1;55564441;;SI;NO;;;;;Auto;SI;;;;
juego-reten-valvula-toyota-1zz-fe-naft-corolla-1-8-16v-in;Juego Reten Valvula Toyota 1zz-fe Naft Corolla 1.8 16v In;;;;;;;;85,549.79;;0.00;0.00;0.00;0.00;1;RVT1ZZ-FE;;SI;NO;;;;;Auto;SI;;;;
cano-inferior-radiador-bifurc-5422-s-10-06-c-mwm;Caño Inferior Radiador -bifurc-5422- S-10 06/ C-mwm;;;;;;;;79,787.53;;0.00;0.00;0.00;0.00;1;C12105142C;;SI;NO;;;;;Auto;SI;;;;
bobina-chevr-tracker-1-8-16v-sonic;Bobina Chevr.tracker 1.8 16v Sonic;;;;;;;;771,593.18;;0.00;0.00;0.00;0.00;1;U5 MIC00015;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-poly-v-onix-prisma-cobal-spin;Tensor Correa Poly-v Onix Prisma Cobal Spin;;;;;;;;134,697.90;;0.00;0.00;0.00;0.00;1;94702968;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-ori-cruze-sonic-tracker;Crapodina Embrague -ori/cruze/sonic/tracker;;;;;;;;777,350.81;;0.00;0.00;0.00;0.00;1;25202592;;SI;NO;;;;;Auto;SI;;;;
tapa-superior-bomba-flotante-c-bba-corsa-classic-celta;Tapa Superior Bomba Flotante C/bba Corsa /classic/celta;;;;;;;;44,423.64;;0.00;0.00;0.00;0.00;1;C91909111I;;SI;NO;;;;;Auto;SI;;;;
ruleman-empuje-trailblazer-s10-2-8-12-general-mot;Ruleman Empuje Trailblazer/s10 2.8 12/ General Mot;;;;;;;;189,096.57;;0.00;0.00;0.00;0.00;1;24046020;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-spark;Filtro Aceite Spark;;;;;;;;34,513.94;;0.00;0.00;0.00;0.00;1;25183779;;SI;NO;;;;;Auto;SI;;;;
cable-comando-cambio-3790-largo-corsa-05-fun;Cable Comando Cambio 3790 Largo Corsa 05/fun;;;;;;;;79,246.05;;0.00;0.00;0.00;0.00;1;C7112651-F;;SI;NO;;;;;Auto;SI;;;;
buje-parrilla-suspension-inferior-capemi-1701-post-amarok;Buje Parrilla Suspension Inferior Capemi 1701 Post. Amarok;;;;;;;;89,672.49;;0.00;0.00;0.00;0.00;1;2H0407182A-C;;SI;NO;;;;;Auto;SI;;;;
kit-distribucion-fluence-meg3-k4m-skf6021a;Kit Distribucion Fluence/meg3 K4m Skf6021a;;;;;;;;616,433.06;;0.00;0.00;0.00;0.00;1;R10911922S;;SI;NO;;;;;Auto;SI;;;;
crapodina-embrague-hidra-ina-meriva-corsa-ii;Crapodina Embrague Hidra.ina Meriva/corsa Ii**;;;;;;;;361,757.09;;0.00;0.00;0.00;0.00;1;510007310;;SI;NO;;;;;Auto;SI;;;;
faro-trasero-derecho-exterior-classic-10;Faro Trasero Derecho Exterior Classic 10/;;;;;;;;63,422.56;;0.00;0.00;0.00;0.00;1;C94509639A;;SI;NO;;;;;Auto;SI;;;;
tapa-de-valvulas-adap-corsa-99-fun-mer-cor-ii-8v;Tapa De Valvulas Adap. Corsa 99/fun/mer/cor Ii 8v;;;;;;;;125,226.09;;0.00;0.00;0.00;0.00;1;C1036491-A;;SI;NO;;;;;Auto;SI;;;;
tubo-rigido-0021-mlh-gol-1-6-1-8-efi;Tubo Rigido (0021)-mlh- Gol 1.6/1.8 Efi;;;;;;;;42,675.47;;0.00;0.00;0.00;0.00;1;377121065J-M;;SI;NO;;;;;Auto;SI;;;;
pasarrueda-plast-delatero-izquierda-onix-prisma-14;Pasarrueda Plast. Delatero Izquierda Onix/prisma 14/;;;;;;;;73,394.63;;0.00;0.00;0.00;0.00;1;C8099619-I;;SI;NO;;;;;Auto;SI;;;;
sensor-velocimetro-electronico-vdo-corsa;Sensor Velocimetro ( Electronico ) Vdo- Corsa**;;;;;;;;110,743.28;;0.00;0.00;0.00;0.00;1;C9578272-V;;SI;NO;;;;;Auto;SI;;;;
moldura-guard-trasero-derecho-adaptable-classic;Moldura Guard Trasero Derecho Adaptable Classic;;;;;;;;46,500.05;;0.00;0.00;0.00;0.00;1;C8079668-A;;SI;NO;;;;;Auto;SI;;;;
kit-distribucion-ina530014710-astra-1-8-8v;Kit Distribucion -ina530014710-astra 1.8 8v;;;;;;;;256,358.22;;0.00;0.00;0.00;0.00;1;C1091007-K;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-dist-s-10-2-8-12-180hp;Tensor Correa Dist S/10 2.8 12/ 180hp;;;;;;;;129,901.40;;0.00;0.00;0.00;0.00;1;12625560;;SI;NO;;;;;Auto;SI;;;;
filtro-aceite-s-10-12;Filtro Aceite S/10 12/;;;;;;;;53,460.29;;0.00;0.00;0.00;0.00;1;12636838;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-alternador-trailblazer-s10-12-gener;Tensor Correa Alternador Trailblazer/s10 12/ Gener;;;;;;;;223,331.47;;0.00;0.00;0.00;0.00;1;24588988;;SI;NO;;;;;Auto;SI;;;;
cjto-peug-206-1-4-8v-citr-c3;Cjto.peug.206 1.4-8v Citr.c3;;;;;;;;450,423.19;;0.00;0.00;0.00;0.00;1;KM K44060;;SI;NO;;;;;Auto;SI;;;;
tensor-correa-alternador-astra-vectra-zafira-fun-c;Tensor Correa Alternador Astra/vectra/zafira/fun/c;;;;;;;;207,003.82;;0.00;0.00;0.00;0.00;1;24412292;;SI;NO;;;;;Auto;SI;;;;
